STORE,Week,STOREWEEK,Season,BRAND,MOVE,logmove,PRICE,logprice,Feat,PROFIT,AGE9,AGE60,EDUC,ETHNIC,INCOME,SINGLE,POVERTY,NOCAR
109,153,109153,Summer,FG,11,2.397895273,2.39,0.871293366,0,35.44,0.147519804,0.151055656,0.476916693,0.060687451,11.23319833,0.231391726,0.023230199,0.030239311
107,183,107183,Spring,FG,18,2.890371758,1.92,0.652325186,0,28.49,0.119089317,0.261867453,0.273051907,0.025624482,10.82713119,0.216217723,0.027871216,0.042052145
126,147,126147,Summer,FG,31,3.433987204,1.79,0.58221562,0,13.79,0.160059877,0.107002273,0.413222417,0.045018573,10.9808762,0.262072942,0.01373033,0.023449553
28,165,28165,Fall,FG,30,3.401197382,1.92,0.652325186,0,19.9,0.128879537,0.213308785,0.233162564,0.055935473,10.79853422,0.233601718,0.035497431,0.054855275
90,86,90086,Spring,FG,3,1.098612289,1.79,0.58221562,0,27.32,0.129722571,0.225219573,0.050193454,0.268367489,10.5046565,0.285503472,0.091751622,0.180874722
5,131,5131,Spring,FG,43,3.761200116,1.59,0.463734016,1,9.37,0.141433483,0.117368032,0.32122573,0.053875277,10.92237097,0.26458527,0.025104603,0.025569503
40,55,40055,Fall,FG,30,3.401197382,2.19,0.783901544,0,21.87,0.133684648,0.1818518,0.072128605,0.044053067,10.55025042,0.266478451,0.055184805,0.046329569
28,105,28105,Fall,FG,73,4.290459441,1.99,0.688134639,0,31.96,0.128879537,0.213308785,0.233162564,0.055935473,10.79853422,0.233601718,0.035497431,0.054855275
5,73,5073,Winter,FG,40,3.688879454,1.99,0.688134639,1,24.97,0.141433483,0.117368032,0.32122573,0.053875277,10.92237097,0.26458527,0.025104603,0.025569503
107,44,107044,Summer,FG,14,2.63905733,2.75,1.011600912,1,33.78,0.119089317,0.261867453,0.273051907,0.025624482,10.82713119,0.216217723,0.027871216,0.042052145
118,29,118029,Spring,FG,8,2.079441542,2.91,1.068153081,0,35.53,0.103791822,0.289442379,0.224725883,0.040669145,10.63236378,0.220619282,0.039278937,0.081783681
33,92,33092,Summer,FG,24,3.17805383,1.86,0.620576488,1,31.02,0.046070917,0.134169965,0.419688004,0.130127179,10.34592726,0.593475533,0.087538074,0.506223517
129,185,129185,Spring,FG,24,3.17805383,1.79,0.58221562,0,30.5,0.172501467,0.103412869,0.307842548,0.034128692,10.99986401,0.203080691,0.029529817,0.024509101
123,113,123113,Fall,FG,9,2.197224577,2.21,0.792992516,0,44.66,0.138477591,0.176040942,0.153191489,0.204809699,10.33410045,0.316291161,0.087524312,0.241944444
78,7,78007,Fall,FG,8,2.079441542,2.09,0.737164066,0,19.9,0.155391168,0.111947994,0.314432275,0.056086079,10.95917494,0.246319072,0.017341756,0.013869969
52,83,52083,Spring,FG,76,4.33073334,1.79,0.58221562,1,20.28,0.13660619,0.152241195,0.372927296,0.084898613,11.05101698,0.245364813,0.019197708,0.014899713
88,193,88193,Summer,FG,59,4.077537444,1.49,0.39877612,1,20.26,0.136417189,0.160414212,0.15163275,0.142928009,10.54980515,0.273775439,0.037482806,0.049690509
132,180,132180,Spring,FG,46,3.828641396,1.64,0.494696242,1,17.01,0.146748237,0.139617348,0.264528441,0.273974204,10.61915425,0.25541913,0.041450777,0.032773961
88,9,88009,Fall,FG,5,1.609437912,2.41,0.879626748,0,35.52,0.136417189,0.160414212,0.15163275,0.142928009,10.54980515,0.273775439,0.037482806,0.049690509
119,96,119096,Summer,FG,2,0.693147181,2.36,0.858661619,0,49.75,0.145669581,0.121574965,0.279952033,0.049584956,10.75271926,0.242272811,0.02152381,0.015622023
51,126,51126,Winter,FG,5,1.609437912,2.36,0.858661619,0,32.84,0.132472108,0.176159718,0.171916711,0.025425719,10.62083942,0.256408378,0.039401496,0.025436409
50,175,50175,Winter,FG,16,2.772588722,1.84,0.609765572,1,22.34,0.124420402,0.153357376,0.128764278,0.07092564,10.58930796,0.280109682,0.042153494,0.036434464
53,47,53047,Summer,FG,9,2.197224577,3.08,1.124929597,0,41.59,0.120839139,0.300278681,0.2703835,0.065722248,10.60000405,0.233270677,0.063319218,0.145362903
8,118,8118,Winter,FG,42,3.737669618,1.99,0.688134639,0,32.66,0.123155416,0.252394035,0.095173274,0.035243328,10.59700966,0.250372149,0.05135254,0.075112724
62,110,62110,Fall,FG,1,0,2.39,0.871293366,0,49.79,0.133509324,0.222534262,0.517760337,0.026510896,11.23619652,0.206418161,0.019975602,0.026528434
54,44,54044,Summer,FG,8,2.079441542,2.75,1.011600912,1,33.78,0.147914585,0.090222278,0.421125644,0.046640859,10.91089788,0.299425562,0.021336421,0.020840225
117,3,117003,Fall,FG,18,2.890371758,2.29,0.828551818,1,23.41,0.139093717,0.110102729,0.249083542,0.049851894,10.76096203,0.262193178,0.018599932,0.018772197
45,139,45139,Spring,FG,18,2.890371758,1.79,0.58221562,0,5.87,0.146718762,0.128857348,0.280150164,0.087233873,10.74537796,0.2516,0.022827393,0.020232372
48,69,48069,Winter,FG,26,3.258096538,1.99,0.688134639,1,24.97,0.12176708,0.097921961,0.303260384,0.099491703,10.75602879,0.334087413,0.018204312,0.021208908
101,171,101171,Winter,FG,53,3.970291914,1.69,0.524728529,1,20.41,0.116924935,0.225035218,0.174741859,0.087422017,10.65993812,0.255044273,0.038226458,0.061029945
106,193,106193,Summer,FG,68,4.219507705,1.49,0.39877612,1,20.13,0.187403158,0.109887349,0.157939308,0.19058587,10.50684678,0.241658587,0.059091469,0.058229718
56,178,56178,Winter,FG,13,2.564949357,1.79,0.58221562,0,24.53,0.131013828,0.192888549,0.237550719,0.041356019,10.83182543,0.228409181,0.027950833,0.031997305
59,191,59191,Spring,FG,14,2.63905733,1.49,0.39877612,1,27.65,0.172145374,0.110818913,0.233036093,0.024246568,10.7150398,0.213364348,0.038323726,0.031318168
54,154,54154,Fall,FG,17,2.833213344,1.79,0.58221562,0,14.41,0.147914585,0.090222278,0.421125644,0.046640859,10.91089788,0.299425562,0.021336421,0.020840225
112,179,112179,Winter,FG,24,3.17805383,1.76,0.565313809,0,22.67,0.16361186,0.08972372,0.329898517,0.069710243,10.88265918,0.250960531,0.019981998,0.013948884
71,186,71186,Spring,FG,26,3.258096538,1.79,0.58221562,1,32.45,0.111723683,0.26807087,0.159588077,0.074828009,10.40483843,0.26706132,0.073374341,0.15343218
132,97,132097,Summer,FG,8,2.079441542,0.69,-0.371063681,0,85.94,0.146748237,0.139617348,0.264528441,0.273974204,10.61915425,0.25541913,0.041450777,0.032773961
68,66,68066,Winter,FG,102,4.624972813,1.99,0.688134639,0,29.75,0.130970406,0.181417756,0.159721511,0.220991053,10.1883657,0.34005229,0.098212706,0.305255707
14,32,14032,Spring,FG,231,5.442417711,1.99,0.688134639,1,2.21,0.129589372,0.213949275,0.348293024,0.034178744,11.04392933,0.223351772,0.019350496,0.026585899
105,179,105179,Winter,FG,33,3.496507561,1.85,0.615185639,0,26.43,0.147564877,0.175542126,0.094235589,0.365410594,10.41439317,0.277669286,0.081917027,0.092156656
118,190,118190,Spring,FG,211,5.351858133,1.49,0.39877612,1,24.89,0.103791822,0.289442379,0.224725883,0.040669145,10.63236378,0.220619282,0.039278937,0.081783681
119,123,119123,Winter,FG,23,3.135494216,2.26,0.815364813,0,44.87,0.145669581,0.121574965,0.279952033,0.049584956,10.75271926,0.242272811,0.02152381,0.015622023
56,40,56040,Summer,FG,21,3.044522438,1.85,0.615185639,1,11.03,0.131013828,0.192888549,0.237550719,0.041356019,10.83182543,0.228409181,0.027950833,0.031997305
112,30,112030,Spring,FG,10,2.302585093,2.53,0.928219303,0,25.85,0.16361186,0.08972372,0.329898517,0.069710243,10.88265918,0.250960531,0.019981998,0.013948884
73,65,73065,Winter,FG,15,2.708050201,2.53,0.928219303,0,39.21,0.124465022,0.257450782,0.07305396,0.109213291,10.61496569,0.264121264,0.062145077,0.133319044
5,96,5096,Summer,FG,3,1.098612289,2.36,0.858661619,0,49.75,0.141433483,0.117368032,0.32122573,0.053875277,10.92237097,0.26458527,0.025104603,0.025569503
56,134,56134,Spring,FG,97,4.574710979,1.29,0.254642218,1,57.29,0.131013828,0.192888549,0.237550719,0.041356019,10.83182543,0.228409181,0.027950833,0.031997305
94,157,94157,Fall,FG,25,3.218875825,1.79,0.58221562,0,17.54,0.160410056,0.103002197,0.229390404,0.059311691,10.7445158,0.245199033,0.033192686,0.012373453
72,172,72172,Winter,FG,1,0,1.69,0.524728529,1,20.41,0.105576311,0.283727688,0.268724553,0.04593884,10.71219307,0.226300197,0.040246555,0.067621465
131,45,131045,Summer,FG,12,2.48490665,2.75,1.011600912,1,33.78,0.124252223,0.17065481,0.2713958,0.074656427,10.79353697,0.274067522,0.027004656,0.037446985
50,142,50142,Summer,FG,41,3.713572067,1.79,0.58221562,0,5.87,0.124420402,0.153357376,0.128764278,0.07092564,10.58930796,0.280109682,0.042153494,0.036434464
68,83,68083,Spring,FG,25,3.218875825,1.79,0.58221562,1,20.28,0.130970406,0.181417756,0.159721511,0.220991053,10.1883657,0.34005229,0.098212706,0.305255707
53,129,53129,Spring,FG,23,3.135494216,2.39,0.871293366,0,39.71,0.120839139,0.300278681,0.2703835,0.065722248,10.60000405,0.233270677,0.063319218,0.145362903
45,17,45017,Winter,FG,16,2.772588722,2.03,0.708035793,0,19.75,0.146718762,0.128857348,0.280150164,0.087233873,10.74537796,0.2516,0.022827393,0.020232372
80,151,80151,Summer,FG,24,3.17805383,1.79,0.58221562,1,13.97,0.138604057,0.152691263,0.304465687,0.041910238,10.90950929,0.253846154,0.023853832,0.030874641
126,188,126188,Spring,FG,1,0,1.79,0.58221562,0,25.3,0.160059877,0.107002273,0.413222417,0.045018573,10.9808762,0.262072942,0.01373033,0.023449553
104,170,104170,Winter,FG,6,1.791759469,2.39,0.871293366,0,42.93,0.162936142,0.135286373,0.249684461,0.039405624,10.69885282,0.22884342,0.034386617,0.034121083
107,144,107144,Summer,FG,85,4.442651256,1.79,0.58221562,0,5.87,0.119089317,0.261867453,0.273051907,0.025624482,10.82713119,0.216217723,0.027871216,0.042052145
28,194,28194,Summer,FG,87,4.465908119,1.49,0.39877612,1,19.79,0.128879537,0.213308785,0.233162564,0.055935473,10.79853422,0.233601718,0.035497431,0.054855275
80,154,80154,Fall,FG,33,3.496507561,1.79,0.58221562,1,13.74,0.138604057,0.152691263,0.304465687,0.041910238,10.90950929,0.253846154,0.023853832,0.030874641
89,133,89133,Spring,FG,143,4.96284463,1.29,0.254642218,1,57.28,0.152115498,0.205811359,0.053349435,0.353053696,10.30811898,0.307044054,0.109616849,0.284282634
91,149,91149,Summer,FG,79,4.369447852,1.79,0.58221562,0,14.53,0.11623504,0.255730611,0.144310113,0.024680506,10.53844932,0.260433649,0.051916796,0.07217735
54,165,54165,Fall,FG,28,3.33220451,1.79,0.58221562,0,14.07,0.147914585,0.090222278,0.421125644,0.046640859,10.91089788,0.299425562,0.021336421,0.020840225
21,32,21032,Spring,FG,303,5.713732806,1.99,0.688134639,1,2.21,0.175926346,0.066896458,0.17750345,0.105038777,10.71619397,0.258991055,0.024785242,0.017598198
75,63,75063,Winter,FG,14,2.63905733,2.79,1.026041596,1,35.81,0.113891113,0.207699493,0.219548453,0.415999466,9.867082871,0.44122065,0.212956582,0.550654721
106,64,106064,Winter,FG,5,1.609437912,2.79,1.026041596,0,44.87,0.187403158,0.109887349,0.157939308,0.19058587,10.50684678,0.241658587,0.059091469,0.058229718
86,168,86168,Winter,FG,58,4.060443011,1.79,0.58221562,0,6.26,0.141758513,0.138756374,0.096763919,0.427866425,10.08897077,0.384547713,0.15266297,0.353421218
73,4,73004,Fall,FG,13,2.564949357,2.19,0.783901544,0,23.33,0.124465022,0.257450782,0.07305396,0.109213291,10.61496569,0.264121264,0.062145077,0.133319044
44,23,44023,Winter,FG,257,5.549076085,1.89,0.636576829,1,0.63,0.144883485,0.190982776,0.329738388,0.037632074,10.86915875,0.226447947,0.030154849,0.040766408
76,13,76013,Winter,FG,16,2.772588722,2.03,0.708035793,0,23.35,0.141774676,0.149192423,0.087711787,0.425324028,10.1406129,0.317409394,0.133099825,0.347964098
121,70,121070,Winter,FG,8,2.079441542,2.53,0.928219303,0,40.99,0.131251097,0.16358133,0.35061287,0.039173539,10.94992897,0.252030319,0.016704036,0.023876247
126,119,126119,Winter,FG,14,2.63905733,1.99,0.688134639,0,26.33,0.160059877,0.107002273,0.413222417,0.045018573,10.9808762,0.262072942,0.01373033,0.023449553
123,42,123042,Summer,FG,8,2.079441542,3.08,1.124929597,0,40.39,0.138477591,0.176040942,0.153191489,0.204809699,10.33410045,0.316291161,0.087524312,0.241944444
67,53,67053,Fall,FG,15,2.708050201,1.99,0.688134639,1,14.62,0.118820051,0.210272984,0.284394654,0.050539779,10.79695991,0.252884133,0.034080876,0.045029137
5,139,5139,Spring,FG,57,4.043051268,1.79,0.58221562,0,5.87,0.141433483,0.117368032,0.32122573,0.053875277,10.92237097,0.26458527,0.025104603,0.025569503
86,145,86145,Summer,FG,40,3.688879454,1.79,0.58221562,0,5.87,0.141758513,0.138756374,0.096763919,0.427866425,10.08897077,0.384547713,0.15266297,0.353421218
67,42,67042,Summer,FG,2,0.693147181,2.53,0.928219303,0,27.43,0.118820051,0.210272984,0.284394654,0.050539779,10.79695991,0.252884133,0.034080876,0.045029137
102,59,102059,Fall,FG,58,4.060443011,1.99,0.688134639,0,10,0.14694592,0.216626232,0.120657539,0.172158585,10.49385422,0.285636477,0.068706795,0.114071326
86,34,86034,Spring,FG,13,2.564949357,2.53,0.928219303,0,23.08,0.141758513,0.138756374,0.096763919,0.427866425,10.08897077,0.384547713,0.15266297,0.353421218
32,196,32196,Summer,FG,20,2.995732274,2.22,0.797507196,0,46.17,0.099060632,0.254953032,0.198259861,0.031938514,10.67447502,0.265329599,0.037700865,0.071700834
134,197,134197,Summer,FG,6,1.791759469,2,0.693147181,0,40.25,0.192817818,0.090152653,0.247949139,0.105855856,10.7225182,0.219711825,0.027977463,0.021371673
98,64,98064,Winter,FG,14,2.63905733,2.53,0.928219303,0,39.21,0.118516496,0.24920053,0.051702821,0.164963731,10.57359638,0.275618876,0.065095636,0.149392499
18,119,18119,Winter,FG,2,0.693147181,1.99,0.688134639,0,32.66,0.110094984,0.272313368,0.072246456,0.074417144,10.39197554,0.256403079,0.075727381,0.141974694
119,93,119093,Summer,FG,5,1.609437912,1.29,0.254642218,1,13.49,0.145669581,0.121574965,0.279952033,0.049584956,10.75271926,0.242272811,0.02152381,0.015622023
12,143,12143,Summer,FG,30,3.401197382,2.39,0.871293366,0,29.5,0.10569674,0.178341405,0.253412969,0.380697988,9.996659083,0.451637338,0.168864097,0.483517598
114,158,114158,Fall,FG,707,6.561030666,1.59,0.463734016,1,15.4,0.14681976,0.182173295,0.094424515,0.441169508,10.34794899,0.289701733,0.082858349,0.085277045
9,46,9046,Summer,FG,22,3.091042453,2.37,0.862889955,1,26.03,0.103503097,0.269119018,0.222172318,0.032618826,10.78715178,0.230005193,0.028060483,0.040127944
49,125,49125,Winter,FG,21,3.044522438,1.79,0.58221562,0,11.45,0.134877735,0.187473187,0.319949969,0.038352638,10.80675383,0.237270004,0.028320971,0.054382022
94,58,94058,Fall,FG,26,3.258096538,1.99,0.688134639,1,24.12,0.160410056,0.103002197,0.229390404,0.059311691,10.7445158,0.245199033,0.033192686,0.012373453
86,200,86200,Summer,FG,2,0.693147181,2.29,0.828551818,0,52.18,0.141758513,0.138756374,0.096763919,0.427866425,10.08897077,0.384547713,0.15266297,0.353421218
52,165,52165,Fall,FG,4,1.386294361,2.39,0.871293366,0,35.65,0.13660619,0.152241195,0.372927296,0.084898613,11.05101698,0.245364813,0.019197708,0.014899713
119,15,119015,Winter,FG,12,2.48490665,2.03,0.708035793,1,23.35,0.145669581,0.121574965,0.279952033,0.049584956,10.75271926,0.242272811,0.02152381,0.015622023
47,96,47096,Summer,FG,5,1.609437912,2.36,0.858661619,0,49.75,0.142961682,0.125798297,0.140598651,0.120675891,10.63532646,0.275212381,0.032623559,0.021297382
59,60,59060,Fall,FG,7,1.945910149,1.99,0.688134639,1,10,0.172145374,0.110818913,0.233036093,0.024246568,10.7150398,0.213364348,0.038323726,0.031318168
92,51,92051,Fall,FG,14,2.63905733,2.71,0.996948635,1,36.61,0.14848956,0.137827632,0.27012665,0.375388716,10.65780038,0.257692308,0.034312108,0.027058241
132,185,132185,Spring,FG,49,3.891820298,1.79,0.58221562,0,30.5,0.146748237,0.139617348,0.264528441,0.273974204,10.61915425,0.25541913,0.041450777,0.032773961
44,20,44020,Winter,FG,37,3.610917913,2.24,0.806475866,1,30.54,0.144883485,0.190982776,0.329738388,0.037632074,10.86915875,0.226447947,0.030154849,0.040766408
121,102,121102,Fall,FG,11,2.397895273,2.36,0.858661619,0,41.94,0.131251097,0.16358133,0.35061287,0.039173539,10.94992897,0.252030319,0.016704036,0.023876247
93,158,93158,Fall,FG,501,6.216606101,1.59,0.463734016,1,15.28,0.112512768,0.142390194,0.363016383,0.347395301,10.36719012,0.451428571,0.078126956,0.238512583
102,102,102102,Fall,FG,11,2.397895273,2.53,0.928219303,0,45.84,0.14694592,0.216626232,0.120657539,0.172158585,10.49385422,0.285636477,0.068706795,0.114071326
