CASEID,STORE,Week,Season,BRAND,MOVE,logmove,UNIT PRICE,logprice,Feat,D1,D2,D3,X,D1X,D2X,D3X,D12,D12X,AGE9,AGE60,ETHNIC,EDUC,NOCAR,INCOME,HHLARGE,POVERTY,SINGLE
1,117,163,Fall,FG VALENCIA,26,3.258096538,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.139093717,0.110102729,0.049851894,0.249083542,0.018772197,10.76096203,0.106357795,0.018599932,0.262193178
2,70,64,Winter,FG VALENCIA,15,2.708050201,2.19,0.783901544,0,0,0,0,0.783901544,0,0,0,0,0,0.143345982,0.190235804,0.162860821,0.165669605,0.081125525,10.41235125,0.110542664,0.087977343,0.26475788
3,9,49,Summer,FG VALENCIA,10,2.302585093,2.36,0.858661619,1,0,0,0,0.858661619,0,0,0,0,0,0.103503097,0.269119018,0.032618826,0.222172318,0.040127944,10.78715178,0.096830474,0.028060483,0.230005193
4,119,105,Fall,FG VALENCIA,20,2.995732274,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.145669581,0.121574965,0.049584956,0.279952033,0.015622023,10.75271926,0.089350352,0.02152381,0.242272811
5,97,54,Fall,FG VALENCIA,3,1.098612289,2.91,1.068153081,0,0,0,0,1.068153081,0,0,0,0,0,0.168599946,0.142433234,0.233612085,0.178182783,0.08465202,10.48374595,0.139324117,0.063450607,0.26783542
6,121,112,Fall,FG VALENCIA,88,4.477336814,1.99,0.688134639,1,0,0,0,0.688134639,0,0,0,0,0,0.131251097,0.16358133,0.039173539,0.35061287,0.023876247,10.94992897,0.091693756,0.016704036,0.252030319
7,77,18,Winter,FG VALENCIA,9,2.197224577,1.99,0.688134639,0,0,0,0,0.688134639,0,0,0,0,0,0.174716756,0.10110045,0.073507887,0.376871097,0.016867843,10.98312087,0.118093174,0.025692617,0.230663978
8,47,179,Winter,FG VALENCIA,45,3.80666249,1.79,0.58221562,0,0,0,0,0.58221562,0,0,0,0,0,0.142961682,0.125798297,0.120675891,0.140598651,0.021297382,10.63532646,0.145731588,0.032623559,0.275212381
9,77,200,Summer,FG VALENCIA,4,1.386294361,2.19,0.783901544,0,0,0,0,0.783901544,0,0,0,0,0,0.174716756,0.10110045,0.073507887,0.376871097,0.016867843,10.98312087,0.118093174,0.025692617,0.230663978
10,48,26,Spring,FG VALENCIA,9,2.197224577,2.91,1.068153081,0,0,0,0,1.068153081,0,0,0,0,0,0.12176708,0.097921961,0.099491703,0.303260384,0.021208908,10.75602879,0.07848683,0.018204312,0.334087413
